,Unnamed: 0,Formatted Date,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Summary
26,26,2015-02-23 02:00:00.000 +0100,rain,6.600000000000001,3.877777777777776,0.9,14.0553,111.0,3.912300000000001,0.0,1007.89,Overcast
27,27,2015-02-23 03:00:00.000 +0100,rain,6.0888888888888895,2.8500000000000014,0.96,16.8245,120.0,3.912300000000001,0.0,1007.49,Overcast
28,28,2015-02-23 04:00:00.000 +0100,rain,6.166666666666668,2.933333333333334,0.96,16.9372,122.0,6.166300000000001,0.0,1007.4,Overcast
29,29,2015-02-23 05:00:00.000 +0100,rain,6.138888888888888,3.022222222222221,1.0,16.0195,120.0,5.957000000000001,0.0,1007.2,Overcast
30,30,2015-02-23 06:00:00.000 +0100,rain,6.138888888888888,3.316666666666666,0.93,13.9909,130.0,3.0429,0.0,1007.18,Foggy
31,31,2015-02-23 07:00:00.000 +0100,rain,6.133333333333333,3.094444444444445,0.94,15.4882,140.0,1.4329,0.0,1007.34,Foggy
32,32,2015-02-23 08:00:00.000 +0100,rain,6.138888888888888,2.794444444444445,1.0,17.71,140.0,1.449,0.0,1007.5,Foggy
33,33,2015-02-23 09:00:00.000 +0100,rain,7.177777777777779,3.838888888888887,0.94,19.9479,150.0,1.7549,0.0,1007.68,Foggy
34,34,2015-02-23 10:00:00.000 +0100,rain,7.672222222222223,4.594444444444446,0.96,18.7404,170.0,1.8193,0.0,1007.46,Foggy
35,35,2015-02-23 11:00:00.000 +0100,rain,8.77222222222222,6.188888888888889,0.9,16.840600000000002,180.0,2.5277000000000003,0.0,1007.21,Foggy
36,36,2015-02-23 12:00:00.000 +0100,rain,9.83888888888889,8.08888888888889,0.87,12.2843,180.0,4.4436,0.0,1006.8,Overcast
37,37,2015-02-23 13:00:00.000 +0100,rain,9.827777777777776,8.216666666666665,0.88,11.3666,173.0,6.0858,0.0,1006.47,Overcast
38,38,2015-02-23 14:00:00.000 +0100,rain,10.877777777777776,10.877777777777776,0.82,9.2092,171.0,6.021400000000001,0.0,1006.29,Overcast
39,39,2015-02-23 15:00:00.000 +0100,rain,10.9,10.9,0.79,9.032100000000002,170.0,7.8729,0.0,1005.63,Mostly Cloudy
40,40,2015-02-23 16:00:00.000 +0100,rain,10.961111111111109,10.961111111111109,0.82,7.2772,179.0,8.017800000000001,0.0,1005.73,Mostly Cloudy
41,41,2015-02-23 17:00:00.000 +0100,rain,8.816666666666666,8.816666666666666,0.9,4.588500000000001,214.0,4.4436,0.0,1005.23,Mostly Cloudy
42,42,2015-02-23 18:00:00.000 +0100,rain,7.799999999999999,7.799999999999999,0.96,2.2057,164.0,4.4436,0.0,1005.7,Mostly Cloudy
43,43,2015-02-23 19:00:00.000 +0100,rain,6.461111111111112,6.461111111111112,0.99,3.3649,156.0,1.2397,0.0,1005.77,Foggy
44,44,2015-02-23 20:00:00.000 +0100,rain,4.21111111111111,4.21111111111111,1.0,4.5724,327.0,0.5313000000000001,0.0,1005.85,Foggy
45,45,2015-02-23 21:00:00.000 +0100,rain,5.644444444444442,4.516666666666668,0.96,5.892600000000001,310.0,1.0626000000000002,0.0,1006.4,Foggy
46,46,2015-02-23 22:00:00.000 +0100,rain,6.027777777777779,6.027777777777779,0.94,0.7084,155.0,0.7567,0.0,1006.51,Foggy
47,47,2015-02-23 23:00:00.000 +0100,rain,6.038888888888888,6.038888888888888,0.96,3.22,200.0,0.4669,0.0,1006.46,Foggy
48,48,2015-02-24 00:00:00.000 +0100,rain,6.038888888888888,4.849999999999998,0.96,6.279,131.0,1.3846,0.0,1005.91,Foggy
49,49,2015-02-24 01:00:00.000 +0100,rain,5.477777777777778,2.816666666666667,0.97,12.2038,157.0,6.0697,0.0,1006.06,Clear
50,50,2015-02-24 02:00:00.000 +0100,rain,5.533333333333334,2.622222222222222,0.94,13.7011,140.0,7.728,0.0,1005.5,Clear
51,51,2015-02-24 03:00:00.000 +0100,rain,5.5777777777777775,2.555555555555556,0.94,14.49,150.0,7.728,0.0,1005.31,Clear
52,52,2015-02-24 04:00:00.000 +0100,rain,4.638888888888889,2.2000000000000006,0.93,10.2074,150.0,5.9248,0.0,1005.37,Partly Cloudy
53,53,2015-02-24 05:00:00.000 +0100,rain,4.027777777777778,4.027777777777778,0.93,4.6046000000000005,140.0,1.6905,0.0,1005.68,Foggy
54,54,2015-02-24 06:00:00.000 +0100,rain,3.0055555555555538,3.0055555555555538,1.0,4.7495,130.0,0.322,0.0,1005.58,Foggy
55,55,2015-02-24 07:00:00.000 +0100,rain,4.200000000000001,3.2333333333333334,0.93,4.8783,108.0,1.7871000000000004,0.0,1005.6,Foggy
56,56,2015-02-24 08:00:00.000 +0100,rain,6.111111111111111,4.405555555555555,0.94,8.1949,119.0,6.7942,0.0,1005.87,Mostly Cloudy
57,57,2015-02-24 09:00:00.000 +0100,rain,8.72777777777778,6.883333333333334,0.84,11.3988,129.0,7.744099999999999,0.0,1005.71,Mostly Cloudy
58,58,2015-02-24 10:00:00.000 +0100,rain,8.644444444444446,6.561111111111113,0.85,12.8317,157.0,8.8872,0.0,1005.41,Mostly Cloudy
59,59,2015-02-24 11:00:00.000 +0100,rain,10.861111111111107,10.861111111111107,0.81,15.7297,170.0,9.6439,0.0,1005.23,Mostly Cloudy
60,60,2015-02-24 12:00:00.000 +0100,rain,12.022222222222222,12.022222222222222,0.73,10.996300000000002,169.0,9.6761,0.0,1004.94,Mostly Cloudy
61,61,2015-02-24 13:00:00.000 +0100,rain,12.455555555555556,12.455555555555556,0.74,8.4686,170.0,9.3863,0.0,1004.5,Mostly Cloudy
62,62,2015-02-24 14:00:00.000 +0100,rain,12.6,12.6,0.73,9.1931,119.0,8.0017,0.0,1004.33,Mostly Cloudy
63,63,2015-02-24 15:00:00.000 +0100,rain,13.666666666666666,13.666666666666666,0.68,9.3541,98.0,9.9015,0.0,1003.94,Mostly Cloudy
64,64,2015-02-24 16:00:00.000 +0100,rain,13.694444444444445,13.694444444444445,0.68,7.3899,109.0,9.7405,0.0,1003.84,Partly Cloudy
65,65,2015-02-24 17:00:00.000 +0100,rain,11.97222222222222,11.97222222222222,0.73,4.4114,51.0,7.824600000000001,0.0,1004.07,Partly Cloudy
66,66,2015-02-24 18:00:00.000 +0100,rain,9.816666666666668,8.599999999999998,0.84,9.032100000000002,27.0,6.9069,0.0,1004.57,Partly Cloudy
67,67,2015-02-24 19:00:00.000 +0100,rain,8.81111111111111,7.200000000000001,0.89,10.143,35.0,7.357700000000001,0.0,1005.2,Partly Cloudy
68,68,2015-02-24 20:00:00.000 +0100,rain,7.244444444444444,5.161111111111111,0.87,11.0285,18.0,6.0697,0.0,1005.38,Partly Cloudy
69,69,2015-02-24 21:00:00.000 +0100,rain,6.761111111111112,5.5777777777777775,0.93,6.6493,18.0,6.0697,0.0,1005.77,Partly Cloudy
70,70,2015-02-24 22:00:00.000 +0100,rain,5.450000000000001,4.3277777777777775,0.93,5.7799000000000005,342.0,4.9588,0.0,1006.24,Clear
71,71,2015-02-24 23:00:00.000 +0100,rain,4.749999999999998,3.250000000000001,0.92,6.601,324.0,2.0769,0.0,1006.46,Foggy
72,72,2015-02-25 00:00:00.000 +0100,rain,4.749999999999998,2.155555555555557,0.96,11.0285,323.0,2.0769,0.0,1006.65,Foggy
73,73,2015-02-25 01:00:00.000 +0100,rain,5.816666666666666,3.7277777777777774,0.96,9.6278,349.0,4.1699,0.0,1006.71,Mostly Cloudy
74,74,2015-02-25 02:00:00.000 +0100,rain,5.694444444444445,5.694444444444445,0.96,2.6726,69.0,1.61,0.0,1006.77,Foggy
75,75,2015-02-25 03:00:00.000 +0100,rain,5.161111111111111,5.161111111111111,0.96,3.6547,336.0,3.059,0.0,1006.68,Foggy
76,76,2015-02-25 04:00:00.000 +0100,rain,5.233333333333334,3.377777777777777,0.96,8.1788,318.0,3.1717,0.0,1006.9,Foggy
77,77,2015-02-25 05:00:00.000 +0100,rain,4.122222222222224,1.3722222222222216,0.92,11.1895,292.0,0.8533000000000001,0.0,1007.27,Foggy
78,78,2015-02-25 06:00:00.000 +0100,rain,5.072222222222224,2.4833333333333325,0.93,11.3505,302.0,1.3202,0.0,1007.67,Foggy
79,79,2015-02-25 07:00:00.000 +0100,rain,6.138888888888888,3.3888888888888897,0.94,13.5884,323.0,1.6422,0.0,1007.92,Foggy
80,80,2015-02-25 08:00:00.000 +0100,rain,7.155555555555556,4.2944444444444425,0.93,15.955100000000002,320.0,3.059,0.0,1008.39,Foggy
81,81,2015-02-25 09:00:00.000 +0100,rain,7.711111111111112,5.144444444444443,0.89,14.731500000000002,339.0,3.5581,0.0,1008.69,Overcast
82,82,2015-02-25 10:00:00.000 +0100,rain,8.666666666666666,6.422222222222223,0.9,13.9909,349.0,3.976700000000001,0.0,1008.83,Overcast
83,83,2015-02-25 11:00:00.000 +0100,rain,8.916666666666664,6.905555555555555,0.83,12.7512,358.0,6.295100000000001,0.0,1008.9,Overcast
84,84,2015-02-25 12:00:00.000 +0100,rain,8.894444444444442,6.422222222222223,0.83,16.1483,351.0,6.295100000000001,0.0,1008.99,Overcast
85,85,2015-02-25 13:00:00.000 +0100,rain,8.877777777777775,6.738888888888891,0.88,13.5884,1.0,6.230700000000001,0.0,1009.12,Overcast
86,86,2015-02-25 14:00:00.000 +0100,rain,7.85,4.994444444444445,0.95,17.1787,1.0,4.1699,0.0,1009.17,Overcast
87,87,2015-02-25 15:00:00.000 +0100,rain,7.777777777777778,5.499999999999999,0.96,12.8478,0.0,4.0733,0.0,1009.47,Overcast
88,88,2015-02-25 16:00:00.000 +0100,rain,7.805555555555554,5.683333333333332,0.96,11.914,349.0,3.944500000000001,0.0,1009.7,Overcast
89,89,2015-02-25 17:00:00.000 +0100,rain,7.755555555555556,5.7222222222222205,0.96,11.3505,352.0,3.6064000000000007,0.0,1009.97,Overcast
90,90,2015-02-25 18:00:00.000 +0100,rain,7.711111111111112,5.966666666666668,0.96,9.6922,333.0,3.6064000000000007,0.0,1010.49,Overcast
91,91,2015-02-25 19:00:00.000 +0100,rain,7.666666666666665,5.766666666666668,0.96,10.5133,332.0,3.3005,0.0,1010.94,Overcast
92,92,2015-02-25 20:00:00.000 +0100,rain,7.155555555555556,4.794444444444446,1.0,12.5419,314.0,4.1216,0.0,1011.2,Overcast
93,93,2015-02-25 21:00:00.000 +0100,rain,7.105555555555555,5.016666666666668,0.96,10.9319,305.0,5.0393,0.0,1011.61,Overcast
94,94,2015-02-25 22:00:00.000 +0100,rain,7.172222222222221,4.894444444444446,0.94,12.0589,296.0,4.5724,0.0,1012.09,Overcast
95,95,2015-02-25 23:00:00.000 +0100,rain,6.577777777777779,4.41111111111111,0.96,10.7548,285.0,4.9910000000000005,0.0,1012.49,Overcast
96,96,2015-02-26 00:00:00.000 +0100,rain,6.555555555555554,4.355555555555558,0.93,10.8997,294.0,6.9874,0.0,1012.8,Overcast
97,97,2015-02-26 01:00:00.000 +0100,rain,6.133333333333333,4.083333333333334,0.96,9.7405,286.0,6.359500000000001,0.0,1013.44,Overcast
98,98,2015-02-26 02:00:00.000 +0100,rain,6.044444444444446,4.888888888888888,0.96,6.1502,276.0,7.905100000000001,0.0,1013.58,Overcast
99,99,2015-02-26 03:00:00.000 +0100,rain,6.044444444444446,3.788888888888889,0.96,10.6582,273.0,6.9391,0.0,1013.88,Overcast
100,100,2015-02-26 04:00:00.000 +0100,rain,6.022222222222224,3.905555555555556,0.94,9.9498,287.0,6.279,0.0,1014.14,Overcast
101,101,2015-02-26 05:00:00.000 +0100,rain,6.022222222222224,3.7277777777777774,0.93,10.835300000000002,302.0,8.8389,0.0,1014.48,Overcast
102,102,2015-02-26 06:00:00.000 +0100,rain,6.022222222222224,4.494444444444446,0.93,7.438200000000001,254.0,2.5921000000000003,0.0,1014.86,Foggy
103,103,2015-02-26 07:00:00.000 +0100,rain,4.994444444444445,2.5166666666666675,1.0,10.722600000000002,266.0,1.3846,0.0,1015.28,Foggy
104,104,2015-02-26 08:00:00.000 +0100,rain,5.027777777777776,2.049999999999999,1.0,13.4435,273.0,1.2880000000000005,0.0,1015.88,Foggy
105,105,2015-02-26 09:00:00.000 +0100,rain,6.066666666666667,3.338888888888888,0.93,13.3469,262.0,1.8998,0.0,1016.45,Foggy
106,106,2015-02-26 10:00:00.000 +0100,rain,6.044444444444446,3.638888888888888,0.94,11.4471,276.0,3.2522,0.0,1016.9,Overcast
107,107,2015-02-26 11:00:00.000 +0100,rain,7.105555555555555,4.544444444444444,0.93,13.7655,273.0,3.4937,0.0,1017.06,Overcast
108,108,2015-02-26 12:00:00.000 +0100,rain,7.127777777777776,4.344444444444445,0.86,15.3433,272.0,3.4454,0.0,1017.34,Overcast
109,109,2015-02-26 13:00:00.000 +0100,rain,7.088888888888888,4.644444444444444,0.87,12.9766,257.0,4.1055,0.0,1017.42,Overcast
110,110,2015-02-26 14:00:00.000 +0100,rain,7.177777777777779,4.57222222222222,0.86,14.1358,272.0,3.880100000000001,0.0,1017.51,Overcast
111,111,2015-02-26 15:00:00.000 +0100,rain,6.161111111111113,3.333333333333333,0.93,14.0875,262.0,3.880100000000001,0.0,1017.71,Overcast
112,112,2015-02-26 16:00:00.000 +0100,rain,6.144444444444446,3.677777777777776,0.92,11.8979,276.0,4.652900000000001,0.0,1017.76,Overcast
113,113,2015-02-26 17:00:00.000 +0100,rain,6.111111111111111,3.2888888888888896,0.86,14.007,281.0,4.347,0.0,1017.69,Overcast
114,114,2015-02-26 18:00:00.000 +0100,rain,6.0888888888888895,4.094444444444443,0.87,9.4346,261.0,5.892600000000001,0.0,1018.38,Overcast
115,115,2015-02-26 19:00:00.000 +0100,rain,6.077777777777777,4.033333333333332,0.87,9.66,227.0,8.0661,0.0,1019.18,Overcast
116,116,2015-02-26 20:00:00.000 +0100,rain,6.038888888888888,3.738888888888887,0.87,10.8836,231.0,6.810300000000001,0.0,1019.28,Overcast
117,117,2015-02-26 21:00:00.000 +0100,rain,5.511111111111112,3.055555555555556,0.89,11.125100000000002,230.0,5.892600000000001,0.0,1019.27,Overcast
118,118,2015-02-26 22:00:00.000 +0100,rain,5.033333333333335,3.877777777777776,0.9,5.699400000000001,270.0,7.3094,0.0,1018.74,Mostly Cloudy
119,119,2015-02-26 23:00:00.000 +0100,rain,4.466666666666666,1.861111111111112,0.92,10.835300000000002,181.0,5.9248,0.0,1018.65,Overcast
120,120,2015-02-27 00:00:00.000 +0100,rain,4.466666666666666,3.094444444444445,0.96,6.1019000000000005,171.0,6.8747,0.0,1018.56,Overcast
121,121,2015-02-27 01:00:00.000 +0100,rain,4.594444444444446,4.594444444444446,0.93,4.186000000000001,231.0,8.1305,0.0,1018.04,Mostly Cloudy
122,122,2015-02-27 02:00:00.000 +0100,rain,4.444444444444445,3.0277777777777795,0.92,6.2146,173.0,7.808499999999999,0.0,1017.79,Overcast
123,123,2015-02-27 03:00:00.000 +0100,rain,4.377777777777779,4.377777777777779,0.93,3.22,190.0,5.957000000000001,0.0,1017.28,Overcast
124,124,2015-02-27 04:00:00.000 +0100,rain,4.405555555555555,3.150000000000001,0.96,5.7316,153.0,5.618900000000001,0.0,1016.87,Overcast
125,125,2015-02-27 05:00:00.000 +0100,rain,4.883333333333333,4.01111111111111,0.94,4.8944,133.0,4.395300000000001,0.0,1016.78,Overcast
126,126,2015-02-27 06:00:00.000 +0100,rain,3.866666666666667,3.866666666666667,0.93,4.7495,151.0,2.5438,0.0,1016.48,Foggy
127,127,2015-02-27 07:00:00.000 +0100,rain,4.727777777777777,4.727777777777777,0.94,4.2021,128.0,2.2218,0.0,1016.43,Foggy
128,128,2015-02-27 08:00:00.000 +0100,rain,4.955555555555557,4.955555555555557,0.94,4.7495,130.0,2.9946,0.0,1016.58,Foggy
129,129,2015-02-27 09:00:00.000 +0100,rain,6.016666666666666,6.016666666666666,0.87,3.4293,107.0,5.9248,0.0,1016.31,Overcast
130,130,2015-02-27 10:00:00.000 +0100,rain,7.094444444444446,5.82222222222222,0.75,7.148400000000001,100.0,7.615300000000001,0.0,1015.91,Overcast
131,131,2015-02-27 11:00:00.000 +0100,rain,7.733333333333334,7.733333333333334,0.71,4.83,93.0,7.905100000000001,0.0,1015.81,Overcast
132,132,2015-02-27 12:00:00.000 +0100,rain,7.733333333333334,6.183333333333335,0.76,8.790600000000001,33.0,8.05,0.0,1015.24,Mostly Cloudy
133,133,2015-02-27 13:00:00.000 +0100,rain,7.88888888888889,6.633333333333332,0.71,7.5992,40.0,9.8049,0.0,1014.44,Mostly Cloudy
134,134,2015-02-27 14:00:00.000 +0100,rain,8.794444444444444,7.066666666666666,0.71,10.8031,40.0,9.982,0.0,1014.04,Overcast
135,135,2015-02-27 15:00:00.000 +0100,rain,7.777777777777778,5.594444444444445,0.82,12.2843,21.0,8.1305,0.0,1013.92,Overcast
136,136,2015-02-27 16:00:00.000 +0100,rain,7.922222222222221,6.050000000000001,0.76,10.6099,24.0,8.774500000000002,0.0,1013.63,Overcast
137,137,2015-02-27 17:00:00.000 +0100,rain,7.733333333333334,5.78888888888889,0.83,10.787,22.0,7.212800000000001,0.0,1013.44,Overcast
138,138,2015-02-27 18:00:00.000 +0100,rain,7.200000000000001,5.127777777777776,0.86,10.8997,20.0,6.1985,0.0,1013.56,Overcast
139,139,2015-02-27 19:00:00.000 +0100,rain,7.26111111111111,5.499999999999999,0.86,9.3863,20.0,6.7298,0.0,1013.99,Overcast
140,140,2015-02-27 20:00:00.000 +0100,rain,7.105555555555555,5.022222222222222,0.86,10.8836,19.0,7.084000000000001,0.0,1014.06,Overcast
141,141,2015-02-27 21:00:00.000 +0100,rain,6.577777777777779,4.383333333333334,0.89,10.8836,19.0,6.0697,0.0,1014.46,Overcast
142,142,2015-02-27 22:00:00.000 +0100,rain,6.672222222222221,4.122222222222224,0.9,13.041,10.0,6.6493,0.0,1014.65,Overcast
143,143,2015-02-27 23:00:00.000 +0100,rain,6.527777777777778,4.322222222222223,0.89,10.9158,0.0,6.0697,0.0,1014.78,Overcast
144,144,2015-02-28 00:00:00.000 +0100,rain,6.527777777777778,3.822222222222224,0.87,13.8299,9.0,6.021400000000001,0.0,1014.97,Overcast
145,145,2015-02-28 01:00:00.000 +0100,rain,6.066666666666667,3.7277777777777774,0.9,11.109000000000002,2.0,6.617100000000001,0.0,1015.13,Overcast
146,146,2015-02-28 02:00:00.000 +0100,rain,6.016666666666666,3.205555555555557,0.9,13.7816,19.0,3.976700000000001,0.0,1015.08,Overcast
147,147,2015-02-28 03:00:00.000 +0100,rain,5.511111111111112,2.5833333333333326,0.93,13.7977,359.0,4.83,0.0,1015.18,Overcast
148,148,2015-02-28 04:00:00.000 +0100,rain,5.550000000000001,2.638888888888889,0.94,13.7494,352.0,5.618900000000001,0.0,1015.26,Overcast
149,149,2015-02-28 05:00:00.000 +0100,rain,5.95,3.0888888888888903,0.94,14.007,349.0,3.9284,0.0,1015.58,Overcast
150,150,2015-02-28 06:00:00.000 +0100,rain,4.927777777777776,1.833333333333332,0.94,14.0392,330.0,3.0107000000000004,0.0,1016.07,Foggy
151,151,2015-02-28 07:00:00.000 +0100,rain,5.011111111111113,1.8000000000000012,0.94,14.876400000000002,341.0,3.719100000000001,0.0,1016.53,Overcast
152,152,2015-02-28 08:00:00.000 +0100,rain,5.994444444444444,2.716666666666667,0.87,16.9694,330.0,4.83,0.0,1017.16,Overcast
153,153,2015-02-28 09:00:00.000 +0100,rain,6.044444444444446,2.966666666666669,0.87,15.6009,339.0,5.957000000000001,0.0,1017.47,Overcast
154,154,2015-02-28 10:00:00.000 +0100,rain,6.0555555555555545,3.099999999999999,0.88,14.7798,340.0,6.0375000000000005,0.0,1017.95,Overcast
155,155,2015-02-28 11:00:00.000 +0100,rain,7.177777777777779,4.849999999999998,0.86,12.380900000000002,340.0,4.9427,0.0,1018.45,Overcast
156,156,2015-02-28 12:00:00.000 +0100,rain,7.200000000000001,4.849999999999998,0.86,12.525800000000002,341.0,4.9910000000000005,0.0,1018.63,Overcast
157,157,2015-02-28 13:00:00.000 +0100,rain,7.205555555555555,4.644444444444444,0.87,13.894300000000005,333.0,6.9874,0.0,1018.37,Overcast
158,158,2015-02-28 14:00:00.000 +0100,rain,7.755555555555556,5.3,0.83,14.023100000000005,330.0,7.1323,0.0,1018.24,Overcast
159,159,2015-02-28 15:00:00.000 +0100,rain,7.733333333333334,5.805555555555557,0.83,10.706500000000002,340.0,8.0983,0.0,1018.14,Overcast
160,160,2015-02-28 16:00:00.000 +0100,rain,7.73888888888889,5.922222222222221,0.84,10.1269,340.0,7.8729,0.0,1018.27,Overcast
161,161,2015-02-28 17:00:00.000 +0100,rain,7.711111111111112,6.038888888888888,0.84,9.3541,340.0,7.212800000000001,0.0,1018.62,Overcast
162,162,2015-02-28 18:00:00.000 +0100,rain,7.155555555555556,7.155555555555556,0.87,4.83,340.0,6.295100000000001,0.0,1018.72,Overcast
163,163,2015-02-28 19:00:00.000 +0100,rain,7.1000000000000005,7.1000000000000005,0.88,1.6744,321.0,7.5187,0.0,1019.16,Overcast
164,164,2015-02-28 20:00:00.000 +0100,rain,7.083333333333333,7.083333333333333,0.87,3.1556,278.0,6.118,0.0,1019.51,Overcast
165,165,2015-02-28 21:00:00.000 +0100,rain,6.577777777777779,5.505555555555554,0.93,6.1502,270.0,6.0697,0.0,1019.62,Overcast
166,166,2015-02-28 22:00:00.000 +0100,rain,6.461111111111112,6.461111111111112,0.91,2.9946,294.0,6.488300000000001,0.0,1019.59,Overcast
167,167,2015-02-28 23:00:00.000 +0100,rain,5.95,5.95,0.94,3.22,270.0,5.8765,0.0,1019.42,Overcast
168,168,2015-02-03 00:00:00.000 +0100,snow,-1.1777777777777785,-3.566666666666668,0.92,6.5044,231.0,11.8979,0.0,1003.6,Partly Cloudy
169,169,2015-02-03 01:00:00.000 +0100,snow,-1.211111111111111,-3.577777777777778,0.93,6.44,258.0,8.9999,0.0,1003.95,Mostly Cloudy
170,170,2015-02-03 02:00:00.000 +0100,snow,-0.7611111111111116,-3.138888888888888,0.89,6.6654,240.0,11.753,0.0,1004.22,Partly Cloudy
171,171,2015-02-03 03:00:00.000 +0100,snow,-1.288888888888889,-5.166666666666667,0.89,11.27,250.0,8.9677,0.0,1004.8,Partly Cloudy
172,172,2015-02-03 04:00:00.000 +0100,snow,-2.205555555555555,-2.205555555555555,0.93,4.0572,258.0,6.7781,0.0,1005.17,Partly Cloudy
173,173,2015-02-03 05:00:00.000 +0100,snow,-2.8666666666666667,-6.0,0.92,7.760200000000001,211.0,4.2021,0.0,1005.49,Partly Cloudy
174,174,2015-02-03 06:00:00.000 +0100,snow,-3.861111111111111,-5.911111111111111,0.92,4.9266000000000005,222.0,4.2021,0.0,1005.89,Partly Cloudy
175,175,2015-02-03 07:00:00.000 +0100,snow,-3.594444444444444,-5.622222222222224,0.99,4.9588,242.0,5.570600000000001,0.0,1006.43,Partly Cloudy
176,176,2015-02-03 08:00:00.000 +0100,snow,-1.2666666666666673,-1.2666666666666673,0.92,0.5152,250.0,5.216400000000001,0.0,1006.89,Partly Cloudy
177,177,2015-02-03 09:00:00.000 +0100,rain,1.022222222222224,1.022222222222224,0.79,1.7388,207.0,5.313,0.0,1007.2,Partly Cloudy
178,178,2015-02-03 10:00:00.000 +0100,rain,3.4500000000000006,3.4500000000000006,0.73,2.4472,213.0,7.4704,0.0,1007.88,Partly Cloudy
